statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Gyroscope Sensor|[0.026631612,-0.010652645,-0.0063915867]|1500643337871
516|MPU6500 Acceleration Sensor|[-0.7577648,1.99437,8.422802]|1500643337876
516|MPU6500 Gyroscope Sensor|[0.004261058,-0.012783174,-0.0053263223]|1500643337876
516|MPU6500 Acceleration Sensor|[-1.0426749,2.1057005,8.746018]|1500643337881
516|MPU6500 Gyroscope Sensor|[-0.004261058,-0.02130529,-0.004261058]|1500643337881
516|MPU6500 Acceleration Sensor|[-0.94451255,2.2960393,8.7532015]|1500643337886
516|MPU6500 Gyroscope Sensor|[0.020240024,-0.011717909,-0.0010652645]|1500643337885
516|MPU6500 Acceleration Sensor|[-0.58897364,2.2481554,9.329007]|1500643337890
516|MPU6500 Gyroscope Sensor|[0.043675844,-0.023435818,-0.0031957934]|1500643337889
516|MPU6500 Acceleration Sensor|[-0.47285482,2.2469583,9.175778]|1500643337895
516|MPU6500 Gyroscope Sensor|[0.043675844,-0.024501082,-0.0031957934]|1500643337895
516|MPU6500 Acceleration Sensor|[-0.48123455,2.1643584,8.948329]|1500643337899
516|MPU6500 Gyroscope Sensor|[0.027696876,-0.027696876,-0.0053263223]|1500643337899
516|MPU6500 Acceleration Sensor|[-0.6572084,2.0602105,9.107543]|1500643337905
516|MPU6500 Gyroscope Sensor|[0.014913702,-0.029827405,-0.0031957934]|1500643337905
516|MPU6500 Acceleration Sensor|[-0.5686229,2.0841527,9.489418]|1500643337909
516|MPU6500 Gyroscope Sensor|[0.018109497,-0.023435818,0.0]|1500643337909
516|MPU6500 Acceleration Sensor|[-0.18794483,2.0961237,9.785102]|1500643337916
516|MPU6500 Gyroscope Sensor|[0.036218993,-0.033023197,-0.0031957934]|1500643337915
516|MPU6500 Acceleration Sensor|[-0.37588966,2.0111294,9.64983]|1500643337920
516|MPU6500 Gyroscope Sensor|[0.043675844,-0.03195793,-0.0053263223]|1500643337920
516|MPU6500 Acceleration Sensor|[-0.30885202,1.9979613,9.234436]|1500643337925
516|MPU6500 Gyroscope Sensor|[0.022370555,-0.02130529,-0.0063915867]|1500643337925
516|MPU6500 Acceleration Sensor|[-0.20590134,2.0518308,9.624691]|1500643337930
516|MPU6500 Gyroscope Sensor|[-0.0010652645,-0.033023197,-0.00958738]|1500643337929
